"","X","State","Row.ID","Order.ID","Order_Date","Ship.Date","Ship_Mode","Customer.ID","Customer_Name","Segment","City","Region","Product_ID","Category","Sub_Category","Sales","Quantity","Discount","Profit","Latitude","Longitude","code"
"1521",1521,"California",7873,"CA-2016-101672",2016-10-03,"10/7/2016","Standard Class","DB-12910","Daniel Byrd","Home Office","Lake Forest","West","FUR-CH-10004063","Furniture","Chairs",915.136,4,0.2,102.9528,37.2718745,-119.2704153,6
"1522",1522,"California",5325,"CA-2015-119508",2015-12-04,"12/9/2015","Standard Class","TZ-21580","Tracy Zic","Consumer","Lakewood","West","OFF-AR-10003723","Office Supplies","Art",16.9,5,0,6.253,37.2718745,-119.2704153,6
"1523",1523,"California",2410,"CA-2017-155985",2017-03-23,"3/25/2017","First Class","BE-11335","Bill Eplett","Home Office","San Francisco","West","FUR-FU-10000758","Furniture","Furnishings",211.84,8,0,76.2624,37.2718745,-119.2704153,6
"1524",1524,"California",3868,"CA-2015-132486",2015-10-23,"10/27/2015","Second Class","JF-15355","Jay Fein","Consumer","San Diego","West","TEC-AC-10000710","Technology","Accessories",148.32,9,0,63.7776,37.2718745,-119.2704153,6
"1525",1525,"California",1683,"US-2016-101497",2016-09-29,"10/1/2016","Second Class","PS-18760","Pamela Stobb","Consumer","Los Angeles","West","OFF-PA-10000176","Office Supplies","Paper",18.97,1,0,9.1056,37.2718745,-119.2704153,6
"1526",1526,"California",1684,"CA-2016-147585",2016-11-07,"11/12/2016","Standard Class","CB-12535","Claudia Bergmann","Corporate","San Francisco","West","FUR-FU-10002597","Furniture","Furnishings",14.82,3,0,6.2244,37.2718745,-119.2704153,6
"1527",1527,"California",8245,"CA-2014-109897",2014-08-12,"8/16/2014","Standard Class","BW-11200","Ben Wallace","Consumer","San Francisco","West","FUR-FU-10002878","Furniture","Furnishings",85.44,3,0,31.6128,37.2718745,-119.2704153,6
"1528",1528,"California",9339,"CA-2014-155264",2014-10-19,"10/22/2014","Second Class","RP-19270","Rachel Payne","Corporate","San Francisco","West","OFF-BI-10003727","Office Supplies","Binders",20.064,6,0.2,7.0224,37.2718745,-119.2704153,6
"1529",1529,"California",5696,"CA-2016-126165",2016-05-05,"5/7/2016","Second Class","AH-10465","Amy Hunt","Consumer","San Francisco","West","FUR-TA-10001676","Furniture","Tables",71.088,2,0.2,-1.7772,37.2718745,-119.2704153,6
"1530",1530,"California",9341,"CA-2014-155264",2014-10-19,"10/22/2014","Second Class","RP-19270","Rachel Payne","Corporate","San Francisco","West","OFF-LA-10002787","Office Supplies","Labels",18.75,5,0,9,37.2718745,-119.2704153,6
"1531",1531,"California",8370,"CA-2016-118745",2016-06-11,"6/16/2016","Standard Class","SV-20365","Seth Vernon","Consumer","Los Angeles","West","FUR-TA-10003473","Furniture","Tables",902.712,3,0.2,33.8517,37.2718745,-119.2704153,6
"1532",1532,"California",8371,"CA-2016-163972",2016-10-17,"10/21/2016","Standard Class","MG-17890","Michael Granlund","Home Office","Fresno","West","FUR-BO-10003894","Furniture","Bookcases",120.666,2,0.15,21.294,37.2718745,-119.2704153,6
"1533",1533,"California",6064,"CA-2015-111780",2015-12-25,"12/30/2015","Second Class","RA-19285","Ralph Arnett","Consumer","San Diego","West","OFF-PA-10001307","Office Supplies","Paper",12.6,3,0,6.174,37.2718745,-119.2704153,6
"1534",1534,"California",5700,"CA-2017-148320",2017-11-03,"11/8/2017","Standard Class","PG-18895","Paul Gonzalez","Consumer","San Francisco","West","OFF-PA-10003022","Office Supplies","Paper",35.88,6,0,17.5812,37.2718745,-119.2704153,6
"1535",1535,"California",7158,"CA-2016-131380",2016-03-28,"3/31/2016","Second Class","CC-12220","Chris Cortes","Consumer","Los Angeles","West","OFF-ST-10002485","Office Supplies","Storage",87.92,4,0,0.8792,37.2718745,-119.2704153,6
"1536",1536,"California",1330,"CA-2016-142762",2016-05-23,"5/27/2016","Standard Class","LD-17005","Lisa DeCherney","Consumer","San Francisco","West","FUR-FU-10003691","Furniture","Furnishings",37.05,3,0,16.302,37.2718745,-119.2704153,6
"1537",1537,"California",7889,"CA-2016-113117",2016-08-16,"8/22/2016","Standard Class","JP-15520","Jeremy Pistek","Consumer","Davis","West","OFF-PA-10000019","Office Supplies","Paper",32.4,5,0,15.552,37.2718745,-119.2704153,6
"1538",1538,"California",2546,"CA-2017-108070",2017-04-16,"4/20/2017","Standard Class","JE-15745","Joel Eaton","Consumer","San Jose","West","OFF-ST-10004804","Office Supplies","Storage",205.92,4,0,2.0592,37.2718745,-119.2704153,6
"1539",1539,"California",9349,"CA-2016-114860",2016-12-22,"12/28/2016","Standard Class","DN-13690","Duane Noonan","Consumer","Moreno Valley","West","FUR-FU-10000277","Furniture","Furnishings",842.72,8,0,202.2528,37.2718745,-119.2704153,6
"1540",1540,"California",2547,"CA-2017-108070",2017-04-16,"4/20/2017","Standard Class","JE-15745","Joel Eaton","Consumer","San Jose","West","FUR-BO-10001337","Furniture","Bookcases",102.833,1,0.15,-6.049,37.2718745,-119.2704153,6
"1541",1541,"California",7407,"CA-2015-100146",2015-05-14,"5/19/2015","Standard Class","CB-12535","Claudia Bergmann","Corporate","Camarillo","West","FUR-CH-10004495","Furniture","Chairs",722.352,3,0.2,81.2646,37.2718745,-119.2704153,6
"1542",1542,"California",2064,"CA-2014-106439",2014-10-31,"11/4/2014","Standard Class","GG-14650","Greg Guthrie","Corporate","Los Angeles","West","OFF-BI-10004209","Office Supplies","Binders",19.296,3,0.2,6.03,37.2718745,-119.2704153,6
"1543",1543,"California",1337,"US-2017-123281",2017-04-02,"4/7/2017","Standard Class","JF-15190","Jamie Frazer","Consumer","Los Angeles","West","FUR-FU-10003724","Furniture","Furnishings",25.11,3,0,6.5286,37.2718745,-119.2704153,6
"1544",1544,"California",2431,"CA-2017-100748",2017-05-13,"5/20/2017","Standard Class","RB-19795","Ross Baird","Home Office","San Francisco","West","OFF-LA-10000240","Office Supplies","Labels",58.48,8,0,27.4856,37.2718745,-119.2704153,6
"1545",1545,"California",4983,"CA-2014-160066",2014-11-16,"11/22/2014","Standard Class","AH-10075","Adam Hart","Corporate","Huntington Beach","West","OFF-LA-10001045","Office Supplies","Labels",5.22,2,0,2.4012,37.2718745,-119.2704153,6
"1546",1546,"California",1704,"CA-2014-139857",2014-02-02,"2/6/2014","Standard Class","CD-12790","Cynthia Delaney","Home Office","San Diego","West","OFF-FA-10001843","Office Supplies","Fasteners",12.35,5,0,5.8045,37.2718745,-119.2704153,6
"1547",1547,"California",4984,"CA-2016-109925",2016-11-06,"11/10/2016","Second Class","IM-15070","Irene Maddox","Consumer","San Diego","West","OFF-ST-10003442","Office Supplies","Storage",84.84,3,0,22.9068,37.2718745,-119.2704153,6
"1548",1548,"California",7172,"CA-2017-125381",2017-04-25,"4/27/2017","Second Class","SG-20605","Speros Goranitis","Consumer","San Francisco","West","TEC-AC-10000158","Technology","Accessories",107.97,3,0,22.6737,37.2718745,-119.2704153,6
"1549",1549,"California",3164,"CA-2014-153969",2014-09-21,"9/25/2014","Standard Class","HF-14995","Herbert Flentye","Consumer","San Francisco","West","OFF-AR-10001615","Office Supplies","Art",59.52,3,0,15.4752,37.2718745,-119.2704153,6
"1550",1550,"California",3165,"CA-2014-153969",2014-09-21,"9/25/2014","Standard Class","HF-14995","Herbert Flentye","Consumer","San Francisco","West","OFF-PA-10000327","Office Supplies","Paper",38.52,9,0,17.334,37.2718745,-119.2704153,6
"1551",1551,"California",9847,"CA-2017-169327",2017-09-02,"9/4/2017","Second Class","MH-17290","Marc Harrigan","Home Office","Los Angeles","West","OFF-AP-10001492","Office Supplies","Appliances",43.1,5,0,11.206,37.2718745,-119.2704153,6
"1552",1552,"California",3167,"CA-2014-153969",2014-09-21,"9/25/2014","Standard Class","HF-14995","Herbert Flentye","Consumer","San Francisco","West","OFF-PA-10002246","Office Supplies","Paper",19.35,3,0,9.4815,37.2718745,-119.2704153,6
"1553",1553,"California",2804,"CA-2015-159380",2015-05-12,"5/16/2015","Standard Class","CS-12505","Cindy Stewart","Consumer","San Francisco","West","OFF-PA-10003893","Office Supplies","Paper",12.84,3,0,5.778,37.2718745,-119.2704153,6
"1554",1554,"California",7908,"CA-2016-112585",2016-07-30,"8/2/2016","First Class","RW-19630","Rob Williams","Corporate","San Francisco","West","OFF-AP-10003849","Office Supplies","Appliances",715.64,2,0,178.91,37.2718745,-119.2704153,6
"1555",1555,"California",2076,"CA-2014-131051",2014-12-01,"12/5/2014","Standard Class","TR-21325","Toby Ritter","Consumer","San Francisco","West","FUR-FU-10001861","Furniture","Furnishings",58.2,3,0,28.518,37.2718745,-119.2704153,6
"1556",1556,"California",5357,"CA-2016-138037",2016-09-29,"10/3/2016","Standard Class","AR-10540","Andy Reiter","Consumer","San Francisco","West","OFF-BI-10002982","Office Supplies","Binders",27.24,5,0.2,9.534,37.2718745,-119.2704153,6
"1557",1557,"California",7911,"CA-2016-149762",2016-12-03,"12/7/2016","Standard Class","RD-19720","Roger Demir","Consumer","Morgan Hill","West","OFF-ST-10001558","Office Supplies","Storage",48.72,3,0,7.308,37.2718745,-119.2704153,6
"1558",1558,"California",4632,"CA-2017-168396",2017-08-03,"8/8/2017","Second Class","BD-11725","Bruce Degenhardt","Consumer","San Francisco","West","OFF-LA-10001297","Office Supplies","Labels",51.75,5,0,24.84,37.2718745,-119.2704153,6
"1559",1559,"California",5846,"CA-2015-126725",2015-11-17,"11/21/2015","Standard Class","BS-11665","Brian Stugart","Consumer","San Diego","West","OFF-PA-10001639","Office Supplies","Paper",32.4,5,0,15.552,37.2718745,-119.2704153,6
"1560",1560,"California",1354,"CA-2017-162978",2017-05-04,"5/9/2017","Standard Class","LW-16990","Lindsay Williams","Corporate","San Francisco","West","OFF-PA-10002250","Office Supplies","Paper",17.61,3,0,8.4528,37.2718745,-119.2704153,6
"1561",1561,"California",6456,"CA-2017-161102",2017-07-31,"8/3/2017","First Class","EC-14050","Erin Creighton","Consumer","San Francisco","West","FUR-FU-10003142","Furniture","Furnishings",36.96,7,0,11.4576,37.2718745,-119.2704153,6
"1562",1562,"California",4636,"CA-2017-116288",2017-03-12,"3/17/2017","Standard Class","BS-11380","Bill Stewart","Corporate","San Francisco","West","OFF-ST-10000736","Office Supplies","Storage",242.94,3,0,9.7176,37.2718745,-119.2704153,6
"1563",1563,"California",2450,"CA-2016-140207",2016-11-05,"11/10/2016","Standard Class","CS-12400","Christopher Schild","Home Office","San Jose","West","OFF-BI-10003963","Office Supplies","Binders",29.12,5,0.2,9.828,37.2718745,-119.2704153,6
"1564",1564,"California",9739,"CA-2017-129294",2017-03-16,"3/21/2017","Standard Class","KD-16615","Ken Dana","Corporate","Los Angeles","West","OFF-BI-10004236","Office Supplies","Binders",70.464,6,0.2,22.9008,37.2718745,-119.2704153,6
"1565",1565,"California",9497,"US-2016-123610",2016-05-12,"5/16/2016","Standard Class","VM-21835","Vivian Mathis","Consumer","Mission Viejo","West","OFF-AP-10002222","Office Supplies","Appliances",8.67,1,0,2.3409,37.2718745,-119.2704153,6
"1566",1566,"California",8039,"CA-2017-109393",2017-06-30,"7/2/2017","Second Class","JC-15775","John Castell","Consumer","Los Angeles","West","FUR-BO-10003966","Furniture","Bookcases",435.999,3,0.15,5.1294,37.2718745,-119.2704153,6
"1567",1567,"California",7070,"CA-2014-141901",2014-08-09,"8/14/2014","Standard Class","GM-14500","Gene McClure","Consumer","Fresno","West","OFF-PA-10001667","Office Supplies","Paper",5.98,1,0,2.691,37.2718745,-119.2704153,6
"1568",1568,"California",9015,"CA-2017-143084",2017-03-18,"3/22/2017","Standard Class","BP-11050","Barry Pond","Corporate","Los Angeles","West","OFF-EN-10003072","Office Supplies","Envelopes",19.4,5,0,9.312,37.2718745,-119.2704153,6
"1569",1569,"California",9743,"CA-2017-131303",2017-11-28,"12/2/2017","Standard Class","EP-13915","Emily Phan","Consumer","San Diego","West","OFF-LA-10001074","Office Supplies","Labels",62.65,5,0,29.4455,37.2718745,-119.2704153,6
"1570",1570,"California",8530,"CA-2017-137624",2017-11-10,"11/17/2017","Standard Class","ME-17320","Maria Etezadi","Home Office","Los Angeles","West","FUR-CH-10001714","Furniture","Chairs",241.424,2,0.2,-36.2136,37.2718745,-119.2704153,6
"1571",1571,"California",5738,"CA-2014-148614",2014-01-20,"1/25/2014","Standard Class","MV-17485","Mark Van Huff","Consumer","Los Angeles","West","FUR-FU-10003194","Furniture","Furnishings",19.3,2,0,5.79,37.2718745,-119.2704153,6
"1572",1572,"California",5739,"CA-2017-156139",2016-12-31,"1/6/2017","Standard Class","BP-11155","Becky Pak","Consumer","San Francisco","West","OFF-BI-10004233","Office Supplies","Binders",38.376,3,0.2,13.4316,37.2718745,-119.2704153,6
"1573",1573,"California",5740,"US-2017-147886",2017-03-28,"3/31/2017","First Class","DH-13075","Dave Hallsten","Corporate","Fairfield","West","OFF-PA-10000232","Office Supplies","Paper",12.96,2,0,6.3504,37.2718745,-119.2704153,6
"1574",1574,"California",5741,"US-2017-147886",2017-03-28,"3/31/2017","First Class","DH-13075","Dave Hallsten","Corporate","Fairfield","West","FUR-FU-10001095","Furniture","Furnishings",26.48,1,0,10.0624,37.2718745,-119.2704153,6
"1575",1575,"California",6834,"CA-2016-153101",2016-09-08,"9/8/2016","Same Day","PJ-19015","Pauline Johnson","Consumer","Santa Ana","West","FUR-TA-10003008","Furniture","Tables",146.04,1,0.2,-12.7785,37.2718745,-119.2704153,6
"1576",1576,"California",5742,"US-2017-147886",2017-03-28,"3/31/2017","First Class","DH-13075","Dave Hallsten","Corporate","Fairfield","West","TEC-MA-10004679","Technology","Machines",532.72,2,0.2,53.272,37.2718745,-119.2704153,6
"1577",1577,"California",4041,"CA-2014-110786",2014-12-29,"1/2/2015","Standard Class","AJ-10795","Anthony Johnson","Corporate","San Francisco","West","OFF-BI-10003305","Office Supplies","Binders",14.352,3,0.2,4.6644,37.2718745,-119.2704153,6
"1578",1578,"California",2949,"CA-2017-169859",2017-12-14,"12/18/2017","Standard Class","MP-18175","Mike Pelletier","Home Office","San Diego","West","OFF-EN-10000461","Office Supplies","Envelopes",43.7,5,0,20.539,37.2718745,-119.2704153,6
"1579",1579,"California",1373,"US-2014-157021",2014-04-01,"4/6/2014","Second Class","KM-16720","Kunst Miller","Consumer","Vallejo","West","OFF-LA-10002312","Office Supplies","Labels",29.6,2,0,14.8,37.2718745,-119.2704153,6
"1580",1580,"California",6840,"CA-2017-107517",2017-02-05,"2/9/2017","Standard Class","FC-14335","Fred Chung","Corporate","Torrance","West","TEC-PH-10003505","Technology","Phones",371.2,5,0.2,41.76,37.2718745,-119.2704153,6
"1581",1581,"California",7934,"CA-2017-166093",2017-08-17,"8/24/2017","Standard Class","RW-19540","Rick Wilson","Corporate","Brentwood","West","OFF-EN-10003134","Office Supplies","Envelopes",23.36,2,0,11.68,37.2718745,-119.2704153,6
"1582",1582,"California",7936,"CA-2017-166093",2017-08-17,"8/24/2017","Standard Class","RW-19540","Rick Wilson","Corporate","Brentwood","West","OFF-PA-10003893","Office Supplies","Paper",8.56,2,0,3.852,37.2718745,-119.2704153,6
"1583",1583,"California",5020,"CA-2014-127558",2014-11-15,"11/18/2014","First Class","SS-20410","Shahid Shariari","Consumer","Los Angeles","West","OFF-SU-10002537","Office Supplies","Supplies",20.46,2,0,5.3196,37.2718745,-119.2704153,6
"1584",1584,"California",7938,"CA-2017-166093",2017-08-17,"8/24/2017","Standard Class","RW-19540","Rick Wilson","Corporate","Brentwood","West","OFF-AP-10001058","Office Supplies","Appliances",2518.29,9,0,654.7554,37.2718745,-119.2704153,6
"1585",1585,"California",7939,"CA-2017-166093",2017-08-17,"8/24/2017","Standard Class","RW-19540","Rick Wilson","Corporate","Brentwood","West","OFF-ST-10001496","Office Supplies","Storage",540.57,3,0,140.5482,37.2718745,-119.2704153,6
"1586",1586,"California",7940,"CA-2017-166093",2017-08-17,"8/24/2017","Standard Class","RW-19540","Rick Wilson","Corporate","Brentwood","West","OFF-BI-10004230","Office Supplies","Binders",221.056,8,0.2,77.3696,37.2718745,-119.2704153,6
"1587",1587,"California",2838,"CA-2017-110842",2017-11-11,"11/16/2017","Standard Class","GA-14725","Guy Armstrong","Consumer","Los Angeles","West","OFF-BI-10000977","Office Supplies","Binders",121.6,5,0.2,39.52,37.2718745,-119.2704153,6
"1588",1588,"California",2475,"CA-2016-114972",2016-11-03,"11/6/2016","First Class","PF-19225","Phillip Flathmann","Consumer","Los Angeles","West","TEC-AC-10000682","Technology","Accessories",82.95,5,0,29.0325,37.2718745,-119.2704153,6
"1589",1589,"California",2476,"CA-2016-114972",2016-11-03,"11/6/2016","First Class","PF-19225","Phillip Flathmann","Consumer","Los Angeles","West","OFF-LA-10004545","Office Supplies","Labels",87.71,7,0,41.2237,37.2718745,-119.2704153,6
"1590",1590,"California",7214,"CA-2017-154949",2017-10-15,"10/19/2017","Standard Class","MC-17275","Marc Crier","Consumer","Camarillo","West","OFF-LA-10002034","Office Supplies","Labels",14.73,3,0,7.2177,37.2718745,-119.2704153,6
"1591",1591,"California",3206,"CA-2014-158372",2014-11-10,"11/16/2014","Standard Class","RD-19900","Ruben Dartt","Consumer","San Diego","West","OFF-PA-10002137","Office Supplies","Paper",62.24,8,0,28.008,37.2718745,-119.2704153,6
"1592",1592,"California",5030,"CA-2017-139304",2017-01-29,"2/2/2017","Standard Class","VG-21790","Vivek Gonzalez","Consumer","San Francisco","West","OFF-AR-10001216","Office Supplies","Art",8.34,3,0,2.1684,37.2718745,-119.2704153,6
"1593",1593,"California",5031,"CA-2017-139304",2017-01-29,"2/2/2017","Standard Class","VG-21790","Vivek Gonzalez","Consumer","San Francisco","West","OFF-SU-10001664","Office Supplies","Supplies",8.57,1,0,2.2282,37.2718745,-119.2704153,6
"1594",1594,"California",1752,"CA-2017-168837",2017-10-14,"10/17/2017","First Class","JW-15955","Joni Wasserman","Consumer","Oakland","West","FUR-FU-10001918","Furniture","Furnishings",9.46,2,0,3.6894,37.2718745,-119.2704153,6
"1595",1595,"California",1753,"CA-2017-116715",2017-12-02,"12/5/2017","First Class","VW-21775","Victoria Wilson","Corporate","San Francisco","West","OFF-ST-10004340","Office Supplies","Storage",559.62,9,0,151.0974,37.2718745,-119.2704153,6
"1596",1596,"California",5763,"CA-2017-158169",2017-08-12,"8/15/2017","First Class","JM-16195","Justin MacKendrick","Consumer","Lake Forest","West","FUR-FU-10001473","Furniture","Furnishings",54.92,4,0,19.7712,37.2718745,-119.2704153,6
"1597",1597,"California",9044,"CA-2016-168830",2016-11-07,"11/13/2016","Standard Class","ML-17395","Marina Lichtenstein","Corporate","San Francisco","West","TEC-AC-10003911","Technology","Accessories",479.97,3,0,163.1898,37.2718745,-119.2704153,6
"1598",1598,"California",9045,"CA-2017-137463",2017-12-16,"12/20/2017","Second Class","KM-16225","Kalyca Meade","Corporate","Sunnyvale","West","OFF-BI-10003196","Office Supplies","Binders",5.984,2,0.2,2.244,37.2718745,-119.2704153,6
"1599",1599,"California",5766,"US-2014-126340",2014-11-08,"11/14/2014","Standard Class","EB-13870","Emily Burns","Consumer","Redding","West","TEC-PH-10004447","Technology","Phones",333.576,3,0.2,25.0182,37.2718745,-119.2704153,6
"1600",1600,"California",9047,"CA-2017-137463",2017-12-16,"12/20/2017","Second Class","KM-16225","Kalyca Meade","Corporate","Sunnyvale","West","TEC-AC-10000057","Technology","Accessories",149.95,5,0,31.4895,37.2718745,-119.2704153,6
"1601",1601,"California",9048,"CA-2017-137463",2017-12-16,"12/20/2017","Second Class","KM-16225","Kalyca Meade","Corporate","Sunnyvale","West","OFF-AR-10001988","Office Supplies","Art",29.95,5,0,8.6855,37.2718745,-119.2704153,6
"1602",1602,"California",6617,"CA-2016-123512",2016-06-17,"6/19/2016","First Class","MV-18190","Mike Vittorini","Consumer","Los Angeles","West","OFF-LA-10000081","Office Supplies","Labels",22.5,6,0,10.8,37.2718745,-119.2704153,6
"1603",1603,"California",6134,"CA-2016-148096",2016-08-16,"8/19/2016","First Class","AO-10810","Anthony O'Donnell","Corporate","Los Angeles","West","FUR-TA-10004152","Furniture","Tables",161.28,2,0.2,12.096,37.2718745,-119.2704153,6
"1604",1604,"California",2247,"CA-2017-103380",2017-11-21,"11/25/2017","Standard Class","BF-11005","Barry Franz","Home Office","Pasadena","West","TEC-PH-10004165","Technology","Phones",659.976,3,0.2,49.4982,37.2718745,-119.2704153,6
"1605",1605,"California",9173,"US-2016-155768",2016-12-01,"12/1/2016","Same Day","LB-16795","Laurel Beltran","Home Office","Oxnard","West","OFF-ST-10002292","Office Supplies","Storage",1112.94,3,0,222.588,37.2718745,-119.2704153,6
"1606",1606,"California",9538,"CA-2016-148747",2016-09-25,"9/27/2016","First Class","AS-10045","Aaron Smayling","Corporate","San Francisco","West","FUR-BO-10002613","Furniture","Bookcases",477.666,2,0.15,84.294,37.2718745,-119.2704153,6
"1607",1607,"California",7961,"CA-2017-131807",2017-10-05,"10/10/2017","Standard Class","GG-14650","Greg Guthrie","Corporate","Chico","West","TEC-PH-10000702","Technology","Phones",7.992,1,0.2,2.6973,37.2718745,-119.2704153,6
"1608",1608,"California",5775,"CA-2016-142398",2016-04-12,"4/16/2016","Standard Class","BP-11290","Beth Paige","Consumer","Los Angeles","West","FUR-CH-10001545","Furniture","Chairs",638.288,7,0.2,-31.9144,37.2718745,-119.2704153,6
"1609",1609,"California",5776,"CA-2016-142398",2016-04-12,"4/16/2016","Standard Class","BP-11290","Beth Paige","Consumer","Los Angeles","West","OFF-BI-10004826","Office Supplies","Binders",13.208,1,0.2,4.6228,37.2718745,-119.2704153,6
"1610",1610,"California",2497,"CA-2015-122371",2015-09-26,"10/1/2015","Standard Class","BS-11800","Bryan Spruell","Home Office","San Diego","West","OFF-ST-10002370","Office Supplies","Storage",64.17,3,0,18.6093,37.2718745,-119.2704153,6
"1611",1611,"California",6871,"US-2016-126452",2016-08-21,"8/28/2016","Standard Class","SC-20230","Scot Coram","Corporate","Los Angeles","West","OFF-PA-10002606","Office Supplies","Paper",47.52,9,0,21.384,37.2718745,-119.2704153,6
"1612",1612,"California",9423,"CA-2014-145254",2014-07-23,"7/27/2014","Standard Class","NC-18535","Nick Crebassa","Corporate","San Francisco","West","OFF-SU-10004664","Office Supplies","Supplies",40.7,5,0,11.803,37.2718745,-119.2704153,6
"1613",1613,"California",5780,"CA-2014-105270",2014-11-11,"11/18/2014","Standard Class","AP-10915","Arthur Prichep","Consumer","Los Angeles","West","FUR-CH-10000988","Furniture","Chairs",112.648,1,0.2,11.2648,37.2718745,-119.2704153,6
"1614",1614,"California",2865,"US-2017-103828",2017-08-13,"8/13/2017","Same Day","JK-15370","Jay Kimmel","Consumer","San Francisco","West","OFF-AP-10004249","Office Supplies","Appliances",83.79,7,0,22.6233,37.2718745,-119.2704153,6
"1615",1615,"California",2866,"US-2017-103828",2017-08-13,"8/13/2017","Same Day","JK-15370","Jay Kimmel","Consumer","San Francisco","West","OFF-AR-10000588","Office Supplies","Art",59.52,3,0,15.4752,37.2718745,-119.2704153,6
"1616",1616,"California",9062,"CA-2015-136420",2015-11-20,"11/21/2015","First Class","CS-12250","Chris Selesnick","Corporate","San Diego","West","OFF-LA-10002762","Office Supplies","Labels",50.12,4,0,23.5564,37.2718745,-119.2704153,6
"1617",1617,"California",6148,"CA-2017-105130",2017-11-21,"11/25/2017","Standard Class","PJ-18835","Patrick Jones","Corporate","San Francisco","West","OFF-BI-10001191","Office Supplies","Binders",40.736,2,0.2,14.7668,37.2718745,-119.2704153,6
"1618",1618,"California",5784,"CA-2015-155586",2015-12-12,"12/16/2015","Second Class","XP-21865","Xylona Preis","Consumer","Chico","West","OFF-PA-10000726","Office Supplies","Paper",36.44,4,0,16.398,37.2718745,-119.2704153,6
"1619",1619,"California",5057,"CA-2015-162166",2015-09-08,"9/11/2015","First Class","NM-18520","Neoma Murray","Consumer","Moreno Valley","West","OFF-PA-10002606","Office Supplies","Paper",26.4,5,0,11.88,37.2718745,-119.2704153,6
"1620",1620,"California",1778,"CA-2015-105347",2015-11-24,"11/28/2015","Standard Class","DP-13000","Darren Powers","Consumer","Los Angeles","West","OFF-PA-10000675","Office Supplies","Paper",368.91,9,0,180.7659,37.2718745,-119.2704153,6
"1621",1621,"California",1779,"CA-2015-105347",2015-11-24,"11/28/2015","Standard Class","DP-13000","Darren Powers","Consumer","Los Angeles","West","OFF-AR-10003045","Office Supplies","Art",14.7,5,0,6.615,37.2718745,-119.2704153,6
"1622",1622,"California",5181,"US-2015-120502",2015-04-13,"4/19/2015","Standard Class","BT-11395","Bill Tyler","Corporate","Los Angeles","West","OFF-AP-10004980","Office Supplies","Appliances",75.84,2,0,29.5776,37.2718745,-119.2704153,6
"1623",1623,"California",1659,"CA-2017-161809",2017-01-20,"1/26/2017","Standard Class","TH-21100","Thea Hendricks","Consumer","Los Angeles","West","TEC-PH-10004922","Technology","Phones",160.776,3,0.2,10.0485,37.2718745,-119.2704153,6
"1624",1624,"California",5791,"CA-2017-140186",2017-09-29,"10/2/2017","First Class","PG-18820","Patrick Gardner","Consumer","Bakersfield","West","OFF-FA-10002280","Office Supplies","Fasteners",35,7,0,16.8,37.2718745,-119.2704153,6
"1625",1625,"California",2876,"US-2016-167339",2016-01-21,"1/23/2016","Second Class","TD-20995","Tamara Dahlen","Consumer","San Diego","West","FUR-CH-10004289","Furniture","Chairs",153.568,2,0.2,-5.7588,37.2718745,-119.2704153,6
"1626",1626,"California",5793,"CA-2017-140186",2017-09-29,"10/2/2017","First Class","PG-18820","Patrick Gardner","Consumer","Bakersfield","West","OFF-AP-10002578","Office Supplies","Appliances",97.84,2,0,25.4384,37.2718745,-119.2704153,6
"1627",1627,"California",4939,"CA-2014-157147",2014-01-13,"1/18/2014","Standard Class","BD-11605","Brian Dahlen","Consumer","San Francisco","West","FUR-BO-10003034","Furniture","Bookcases",333.999,3,0.15,3.9294,37.2718745,-119.2704153,6
"1628",1628,"California",6889,"CA-2017-120222",2017-04-25,"5/2/2017","Standard Class","LL-16840","Lauren Leatherbury","Consumer","Los Angeles","West","OFF-BI-10000666","Office Supplies","Binders",73.344,3,0.2,27.504,37.2718745,-119.2704153,6
"1629",1629,"California",8711,"CA-2014-119144",2014-11-16,"11/18/2014","First Class","JD-16150","Justin Deggeller","Corporate","Los Angeles","West","OFF-ST-10000991","Office Supplies","Storage",344.91,3,0,10.3473,37.2718745,-119.2704153,6
"1630",1630,"California",9198,"CA-2014-103310",2014-05-10,"5/15/2014","Standard Class","GM-14680","Greg Matthias","Consumer","San Jose","West","TEC-PH-10001817","Technology","Phones",1432,5,0.2,125.3,37.2718745,-119.2704153,6
"1631",1631,"California",4338,"CA-2015-125234",2015-11-27,"12/1/2015","Standard Class","SN-20710","Steve Nguyen","Home Office","Los Angeles","West","TEC-AC-10000158","Technology","Accessories",107.97,3,0,22.6737,37.2718745,-119.2704153,6
"1632",1632,"California",8714,"CA-2017-136623",2017-07-11,"7/16/2017","Standard Class","TS-21430","Tom Stivers","Corporate","San Diego","West","TEC-PH-10000004","Technology","Phones",71.952,6,0.2,5.3964,37.2718745,-119.2704153,6
"1633",1633,"California",1427,"US-2015-164448",2015-10-31,"11/4/2015","Second Class","DK-12835","Damala Kotsonis","Corporate","Salinas","West","OFF-BI-10002949","Office Supplies","Binders",9.728,2,0.2,3.2832,37.2718745,-119.2704153,6
"1634",1634,"California",2156,"CA-2016-111115",2016-07-25,"7/27/2016","Second Class","LB-16735","Larry Blacks","Consumer","Los Angeles","West","OFF-FA-10000624","Office Supplies","Fasteners",21.48,6,0,10.74,37.2718745,-119.2704153,6
